Id 	 Nombre de Lugar 	 Coordenadas 	 Tiempo Traslado 	 Tiempo Total (Weight) 	 Rating (Profit) 

1	Museo Nacional de Antropología	19.4260032, -99.1862786	1224.4	1224.4	4.8
2	Templo Mayor Museum	19.4346038, -99.13188099999999	2720.2	2720.2	4.8
3	Museo Nacional De Arte (MUNAL)	19.4363712, -99.1397023	2212.8	2212.8	4.8
4	Interactive Museum of Economics	19.4353495, -99.13836459999999	2160.6	2160.6	4.6
5	Museo de Arte Moderno	19.4228316, -99.1797258	1368.1	1368.1	4.6
6	Museo de Arte Popular	19.433958, -99.1462631	1952.9	1952.9	4.7
7	Soumaya Museum	19.4406926, -99.2047001	1396.3	1396.3	4.7
8	Frida Kahlo Museum	19.3551806, -99.1624636	931.3	931.3	4.5
9	Museo de Cera	19.4285278, -99.15708079999999	1713.9	1713.9	4.6
10	Memory and Tolerance Museum	19.4343297, -99.1413247	2073.3	2073.3	4.7
11	Museo Dolores Olmedo	19.2656032, -99.1253409	1872.4	1872.4	4.7
12	Museo Franz Mayer	19.4369334, -99.14343400000001	2150.6	2150.6	4.6
13	Museo Casa de León Trotsky	19.3576107, -99.15932459999999	893.7	893.7	4.5
14	Metro Museum	19.3752985, -99.1867425	635.0	635.0	4.4
15	Museo de la Ciudad de Mexico	19.4292369, -99.1321387	1834.1	1834.1	4.5
16	University Museum Contemporary Art	19.3146858, -99.18540109999999	887.9	887.9	4.7
17	Palacio de Bellas Artes	19.4352, -99.1412	2068.4	2068.4	4.8
18	National Museum of Interventions	19.3550024, -99.14879499999999	1088.4	1088.4	4.6
19	Museum of Man Tepexpan	19.6139084, -98.94735569999999	3671.9	3671.9	4.1
20	Museo de la Charreria	19.4260403, -99.1372238	1772.7	1772.7	4.3
21	Museo Nacional de las Culturas	19.4332126, -99.13039769999999	2430.4	2430.4	4.7
22	Universum	19.3114346, -99.1805749	1112.6	1112.6	4.6
23	Museo Anahuacalli	19.3231754, -99.1439285	1666.4	1666.4	4.7
24	Palacio de la Escuela de Medicina	19.4379488, -99.1330325	2155.4	2155.4	4.6
25	National Museum of Popular Culture	19.3497158, -99.1610225	1135.0	1135.0	4.5
26	Museo de Historia Natural	19.409833, -99.20151899999999	1298.2	1298.2	4.7
27	Former College of San Ildefonso	19.436341, -99.1308634	2373.7	2373.7	4.7
28	Toy Museum Old Mexico street Art	19.4153442, -99.1445236	1693.3	1693.3	4.2
29	Museo del Instituto de Geología de la UNAM	19.4502641, -99.1578017	1892.7	1892.7	4.6
30	Museum of light	19.4362372, -99.1299945	2424.3	2424.3	4.5
31	Estanquillo Museum	19.4332695, -99.1361618	2011.8	2011.8	4.6
32	Museum of El Carmen	19.3453961, -99.1899237	397.8	397.8	4.7
33	Museo del Tiempo Tlalpan, A.C.	19.2885927, -99.16743029999999	1713.5	1713.5	4.7
34	Papalote Museo del Niño	19.4116523, -99.1947372	1037.1	1037.1	4.5
35	Arte Carrillo Gil Museum	19.3494444, -99.1902778	210.4	210.4	4.5
36	Museo Tamayo Arte Contemporáneo	19.42572, -99.181716	1297.5	1297.5	4.4
37	Museo del Chocolate	19.4294462, -99.1572271	1759.0	1759.0	4.5
38	UNAM Museo de las Constituciones	19.4363673, -99.1294145	2411.8	2411.8	4.5
39	The National Museum of San Carlos	19.4380689, -99.1520429	1862.7	1862.7	4.6
40	Museo Jumex	19.4404568, -99.20359330000001	1306.7	1306.7	4.6
41	Museo Nacional de Arquitectura	19.4354995, -99.14118529999999	2074.1	2074.1	4.8
42	Diego Rivera Mural Museum	19.4360279, -99.14693349999999	2201.8	2201.8	4.5
43	Museo Experimental el Eco	19.4334736, -99.1611887	1639.9	1639.9	4.2
44	Museo Casa de Carranza	19.4311935, -99.163468	1620.0	1620.0	4.6
45	Natural History Museum of Ecatepec	19.5469044, -99.03670129999999	3480.1	3480.1	4.4
46	MODO Museo del Objeto	19.4202297, -99.15907620000002	1715.9	1715.9	4.5
47	Museum of Cultures By Iztapalapa Passion	19.3577118, -99.0875015	1867.5	1867.5	4.4
48	Museo de la Torre Latinoamericana	19.433891, -99.14054399999999	2036.7	2036.7	4.7
49	Museo del Genoma Mesoamericano	19.5968081, -99.0519692	3545.8	3545.8	4.6
50	Museo Universitario del Chopo	19.441993, -99.1567171	1886.0	1886.0	4.5
51	Regional Art Museum	19.5019399, -99.2116346	2049.9	2049.9	4.5
52	Museo Universitario de Ciencias y Artes (MUCA) Roma	19.4190404, -99.1629921	1639.6	1639.6	4.2
53	Regional Museum Altepepialcalli	19.1925056, -99.02178889999999	4506.1	4506.1	4.1
54	House Museum of Memory Indómita	19.4276917, -99.1346883	1777.2	1777.2	4.5
55	Alfredo Guati Rojo National Watercolor Museum	19.348631, -99.17707	568.0	568.0	4.6
56	Museo del Caracol	19.4190145, -99.1834349	1284.1	1284.1	4.6
57	MI Indian Museum	19.4519111, -99.13131849999999	2348.2	2348.2	4.5
58	Museum Adolfo Lopez Mateos	19.5631838, -99.248143	2630.4	2630.4	4.2
59	Museo Nacional de la Estampa	19.4370531, -99.1427154	2034.1	2034.1	4.5
60	Museum Tepexpan	19.613865, -98.947688	3672.6	3672.6	4.1
61	Mexican Art Gallery GAM	19.413262, -99.18703599999999	1094.4	1094.4	4.5
62	Galería Arte XXI	19.4303069, -99.19247949999999	1206.2	1206.2	4.3
63	kurimanzutto	19.411377, -99.18760499999999	1030.3	1030.3	4.5
64	PROYECTOSMONCLOVA	19.4210233, -99.1559418	1694.9	1694.9	4.5
65	Galeria Ethra	19.4453626, -99.1788344	1767.6	1767.6	4.1
66	Málaga gallery. Contemporary art	19.371228, -99.182334	865.0	865.0	4.7
67	OSCAR ROMÁN GALLERY ART AND DESIGN	19.4276202, -99.1975442	1296.8	1296.8	4.6
68	Arte Hoy Galería	19.3557992, -99.16672799999999	773.5	773.5	3.6
69	Galería Aguafuerte	19.416628, -99.16006	1654.0	1654.0	4.5
70	Arroniz Contemporary Art	19.418647, -99.161943	1616.3	1616.3	4.5
71	Machete: Latin American Contemporary Art Gallery	19.4231295, -99.15991819999999	1640.4	1640.4	4.7
72	House of Gaga	19.4119833, -99.17119459999999	1471.7	1471.7	4.4
73	Galería Casa Lamm	19.418845, -99.159166	1775.7	1775.7	4.6
74	LS / Galería | Galería de Arte Moderno y Contemporáneo	19.4304842, -99.2017032	1118.4	1118.4	4.3
75	Proyecto H Contemporáneo	19.4169736, -99.171982	1577.4	1577.4	5.0
76	PARQUE Galería	19.415567, -99.183673	1216.8	1216.8	4.2
77	ArtSpace Mexico	19.4086389, -99.17067779999999	1441.3	1441.3	4.5
78	AURA GALERIAS	19.420764, -99.211207	1322.5	1322.5	4.8
