Id 	 Nombre de Lugar 	 Coordenadas 	 Tiempo Traslado 	 Tiempo Total (Weight) 	 Rating (Profit) 

1	Museo Nacional de Antropología	19.4260032, -99.1862786	1537.3	1537.3	4.8
2	Templo Mayor Museum	19.4346038, -99.13188099999999	1929.7	1929.7	4.8
3	Museo Nacional De Arte (MUNAL)	19.4363712, -99.1397023	1107.3	1107.3	4.8
4	Memory and Tolerance Museum	19.4343297, -99.1413247	1113.8	1113.8	4.7
5	Museo de Arte Popular	19.433958, -99.1462631	993.4	993.4	4.7
6	Interactive Museum of Economics	19.4353495, -99.13836459999999	1047.6	1047.6	4.6
7	Museo Dolores Olmedo	19.2656032, -99.1253409	3751.5	3751.5	4.7
8	Museo de Cera	19.4285278, -99.15708079999999	1124.7	1124.7	4.6
9	Museo Franz Mayer	19.4369334, -99.14343400000001	993.7	993.7	4.6
10	Museo Casa de León Trotsky	19.3576107, -99.15932459999999	2407.1	2407.1	4.5
11	Frida Kahlo Museum	19.3551806, -99.1624636	2444.7	2444.7	4.5
12	Museo Nacional del Virreinato	19.7132656, -99.2217286	3384.0	3384.0	4.7
13	Museo de la Ciudad de Mexico	19.4292369, -99.1321387	1452.1	1452.1	4.5
14	Museo de Arte Moderno	19.4228316, -99.1797258	1501.1	1501.1	4.6
15	National Museum of Interventions	19.3550024, -99.14879499999999	2488.1	2488.1	4.6
16	Museo Nacional de las Culturas	19.4332126, -99.13039769999999	1488.7	1488.7	4.7
17	University Museum Contemporary Art	19.3146858, -99.18540109999999	3119.7	3119.7	4.7
18	Palacio de Bellas Artes	19.4352, -99.1412	1169.3	1169.3	4.8
19	Universum	19.3114346, -99.1805749	3344.4	3344.4	4.6
20	Museo Anahuacalli	19.3231754, -99.1439285	2794.8	2794.8	4.7
21	Museum of light	19.4362372, -99.1299945	1315.5	1315.5	4.5
22	Metro Museum	19.3752985, -99.1867425	2134.8	2134.8	4.4
23	Museo de la Charreria	19.4260403, -99.1372238	1413.3	1413.3	4.3
24	Museum of Man Tepexpan	19.6139084, -98.94735569999999	2365.6	2365.6	4.1
25	Museo del Tiempo Tlalpan, A.C.	19.2885927, -99.16743029999999	3201.1	3201.1	4.7
26	Palacio de la Escuela de Medicina	19.4379488, -99.1330325	1185.2	1185.2	4.6
27	Former College of San Ildefonso	19.436341, -99.1308634	1274.6	1274.6	4.7
28	Museo de Historia Natural	19.409833, -99.20151899999999	2151.2	2151.2	4.7
29	Museo Nacional de Arquitectura	19.4354995, -99.14118529999999	1175.0	1175.0	4.8
30	Museo del Instituto de Geología de la UNAM	19.4502641, -99.1578017	882.5	882.5	4.6
31	Toy Museum Old Mexico street Art	19.4153442, -99.1445236	1458.3	1458.3	4.2
32	Estanquillo Museum	19.4332695, -99.1361618	1295.2	1295.2	4.6
33	Museum of El Carmen	19.3453961, -99.1899237	2724.1	2724.1	4.7
34	Diego Rivera Mural Museum	19.4360279, -99.14693349999999	1056.5	1056.5	4.5
35	Museo Experimental el Eco	19.4334736, -99.1611887	1057.8	1057.8	4.2
36	Papalote Museo del Niño	19.4116523, -99.1947372	1780.9	1780.9	4.5
37	UNAM Museo de las Constituciones	19.4363673, -99.1294145	1358.7	1358.7	4.5
38	Arte Carrillo Gil Museum	19.3494444, -99.1902778	2536.7	2536.7	4.5
39	Museo del Chocolate	19.4294462, -99.1572271	1112.6	1112.6	4.5
40	Museo Tamayo Arte Contemporáneo	19.42572, -99.181716	1419.0	1419.0	4.4
41	The National Museum of San Carlos	19.4380689, -99.1520429	920.7	920.7	4.6
42	Museo Jumex	19.4404568, -99.20359330000001	1718.7	1718.7	4.6
43	Museo Casa de Carranza	19.4311935, -99.163468	1082.1	1082.1	4.6
44	Natural History Museum of Ecatepec	19.5469044, -99.03670129999999	2520.6	2520.6	4.4
45	MODO Museo del Objeto	19.4202297, -99.15907620000002	1295.3	1295.3	4.5
46	Museum of Cultures By Iztapalapa Passion	19.3577118, -99.0875015	2754.4	2754.4	4.4
47	Museo de la Torre Latinoamericana	19.433891, -99.14054399999999	1251.6	1251.6	4.7
48	Museo del Genoma Mesoamericano	19.5968081, -99.0519692	2239.5	2239.5	4.6
49	Museo Universitario del Chopo	19.441993, -99.1567171	805.2	805.2	4.5
50	Regional Art Museum	19.5019399, -99.2116346	1686.5	1686.5	4.5
51	Museo Universitario de Ciencias y Artes (MUCA) Roma	19.4190404, -99.1629921	1392.2	1392.2	4.2
52	House Museum of Memory Indómita	19.4276917, -99.1346883	1362.6	1362.6	4.5
53	Regional Museum Altepepialcalli	19.1925056, -99.02178889999999	6081.1	6081.1	4.1
54	Museum Tepexpan	19.613865, -98.947688	2366.3	2366.3	4.1
55	Alfredo Guati Rojo National Watercolor Museum	19.348631, -99.17707	2618.4	2618.4	4.6
56	MI Indian Museum	19.4519111, -99.13131849999999	926.4	926.4	4.5
57	Museo del Caracol	19.4190145, -99.1834349	1463.5	1463.5	4.6
58	Museum Adolfo Lopez Mateos	19.5631838, -99.248143	2728.0	2728.0	4.2
59	Museo Nacional de la Estampa	19.4370531, -99.1427154	888.8	888.8	4.5
60	New Fire Museum	19.3481804, -99.0914754	3621.0	3621.0	4.4
61	Bosque de Chapultepec	19.4194815, -99.18945579999999	2101.4	2101.4	4.6
62	Parque Tezozómoc	19.4998595, -99.210754	1709.1	1709.1	4.4
63	Parque Bicentenario	19.4686896, -99.1972629	1803.2	1803.2	4.7
64	La Mexicana Park	19.3574615, -99.27052119999999	2647.9	2647.9	4.7
65	Parque Hundido	19.3782922, -99.17874719999999	2086.7	2086.7	4.6
66	Cerro de la Estrella National Park	19.3439269, -99.0914995	7338.9	7338.9	4.4
67	Espejo de los Lirios Park	19.651843, -99.21830179999999	3096.9	3096.9	4.3
68	Parque Ecológico EHECATL	19.5943439, -99.0545412	2338.8	2338.8	4.5
69	Alameda Central	19.4357353, -99.1439486	952.3	952.3	4.6
70	El Tepeyac National Park	19.5039634, -99.1078041	1526.0	1526.0	4.1
71	Parque Naucalli	19.4930556, -99.24083329999999	2298.4	2298.4	4.4
72	SEMARNAT Bioparque San Antonio	19.3865189, -99.1963827	2289.4	2289.4	4.5
73	parque rosendo	19.3842214, -99.1872569	2231.9	2231.9	3.3
74	Parque Lincoln	19.4298155, -99.1992389	1823.6	1823.6	4.6
75	Esculturas Park	19.65598, -99.2044432	3228.0	3228.0	4.4
76	Ehécatl Ecological Park	19.58903, -99.048645	2070.2	2070.2	4.4
77	Tlalpan National Park	19.2961412, -99.1931443	3066.4	3066.4	4.6
78	Parque España	19.4153363, -99.1711504	1484.3	1484.3	4.5
79	PARQUE MASAYOSHI OHIRA	19.3524417, -99.14218609999999	2857.5	2857.5	4.3
80	Parque El Batán	19.3327776, -99.2060024	2624.7	2624.7	4.3
81	Azcatl Paqui	19.4728199, -99.20634319999999	1742.5	1742.5	4.0
82	Parque Lineal	19.4422863, -99.19160680000002	1704.8	1704.8	3.9
83	María Enriqueta Park	19.39945, -99.16717609999999	1692.6	1692.6	4.3
84	Iztaccíhuatl "José Mariano Muciño" Park	19.390052, -99.1350654	2112.3	2112.3	4.3
85	Arboledas Park	19.3779458, -99.16237129999999	2192.4	2192.4	4.5
86	Alfonso Esparza Oteo Park	19.3895948, -99.177103	2043.6	2043.6	4.5
87	Recreativo Familiar Caneguin Park	19.4549443, -99.20543839999999	1747.2	1747.2	4.3
88	Tlaltecahuacan Park	19.5837198, -98.8791858	3836.6	3836.6	4.3
89	Parque Xicoténcatl	19.3563455, -99.15073989999999	2484.2	2484.2	4.3
90	Parque Acacias	19.3641186, -99.17407709999999	2431.7	2431.7	4.4
91	parque pantitlan	19.4152253, -99.05840859999999	2179.9	2179.9	3.8
